created_time,RequestID,priority,requester,category,sub_category,subject,request_status,resolved_time,resolution_hours,severity,est_per_day_cost_usd
2025-04-22 02:53:00,SR-1980005,Priority 2,Sadhana Demilian,Network,Firewall,Firewall issue reported by Sadhana Demilian,Pending,,,Low,10000
2025-07-04 21:56:00,INC-1925360,Priority 4,Sadhana Patel,Network,Firewall,Firewall issue reported by Sadhana Patel,Pending,,,Critical,10000
2025-06-16 00:29:00,SR-1917100,Priority 4,Alfarhan Demilian,Finance,Expense Claim,Expense Claim issue reported by Alfarhan Demilian,Pending,,,Medium,5000
2025-07-03 18:51:00,INC-1958470,Priority 3,Sadhana Verma,ACCOPS,Account Access,Account Access issue reported by Sadhana Verma,Closed,2025-07-04 10:38:24,15.79,Critical,1000
2025-04-25 11:46:00,INC-1941697,Priority 1,Kunal Iyer,HR,Payroll,Payroll issue reported by Kunal Iyer,In Progress,,,Medium,200
2025-06-19 23:47:00,INC-1953779,Priority 4,Fatima Verma,HR,Payroll,Payroll issue reported by Fatima Verma,Open,,,Medium,200
2025-04-24 12:04:00,SR-1923653,Priority 2,Anjali Dubey,LM Onboarding,New joinee queries,New joinee queries issue reported by Anjali Dubey,In Progress,,,High,200
2025-03-19 13:52:00,INC-1960743,Priority 1,George Singh,LM Onboarding,Resource Extension,Resource Extension issue reported by George Singh,Pending,,,Low,5000
2025-04-29 08:42:00,SR-1960341,Priority 1,Sadhana Sharma,LM Onboarding,Resource Extension,Resource Extension issue reported by Sadhana Sharma,In Progress,,,Critical,10000
2025-06-26 19:19:00,SR-1999497,Priority 3,David Fernandes,HR,Compliance,Compliance issue reported by David Fernandes,Closed,2025-06-29 03:51:24,56.54,Critical,200
2025-05-06 05:16:00,INC-1952851,Priority 3,David Khan,IT Support,Email Access,Email Access issue reported by David Khan,Pending,,,Critical,500
2025-04-25 02:33:00,INC-1958294,Priority 4,Kunal Verma,HR,Leave Policy,Leave Policy issue reported by Kunal Verma,Open,,,Critical,500
2025-04-07 19:41:00,SR-1910176,Priority 3,Fatima Patel,Finance,Budget Request,Budget Request issue reported by Fatima Patel,Open,,,High,1000
2025-03-29 12:49:00,INC-1922063,Priority 2,Anjali Iyer,Facilities,Seating,Seating issue reported by Anjali Iyer,Open,,,Critical,200
2025-06-08 21:49:00,SR-1948606,Priority 4,Ravi Verma,Finance,Budget Request,Budget Request issue reported by Ravi Verma,Open,,,High,3000
2025-07-11 15:56:00,INC-1994634,Priority 4,Sadhana Sharma,IT Support,Software Install,Software Install issue reported by Sadhana Sharma,In Progress,,,Critical,10000
2025-05-01 14:53:00,INC-1984764,Priority 3,Priya Khan,Facilities,Seating,Seating issue reported by Priya Khan,Pending,,,Medium,3000
2025-06-12 05:46:00,SR-1927759,Priority 4,Alfarhan Iyer,Finance,Invoice,Invoice issue reported by Alfarhan Iyer,Open,,,Critical,3000
2025-05-22 13:07:00,INC-1937289,Priority 3,Ravi Dubey,HR,Compliance,Compliance issue reported by Ravi Dubey,Open,,,High,10000
2025-03-27 18:57:00,INC-1924418,Priority 4,Kunal Wilson,HR,Compliance,Compliance issue reported by Kunal Wilson,Open,,,High,10000
2025-02-24 01:17:00,SR-1954612,Priority 3,George Fernandes,LM Onboarding,New joinee queries,New joinee queries issue reported by George Fernandes,Pending,,,Critical,1000
2025-04-09 00:25:00,SR-1912975,Priority 1,Alfarhan Singh,HR,Leave Policy,Leave Policy issue reported by Alfarhan Singh,Pending,,,Medium,1000
2025-05-12 19:17:00,SR-1936067,Priority 2,George Sharma,HR,Payroll,Payroll issue reported by George Sharma,In Progress,,,Medium,3000
2025-03-17 03:23:00,INC-1964756,Priority 2,Sadhana Dubey,Facilities,Cafeteria,Cafeteria issue reported by Sadhana Dubey,In Progress,,,High,10000
2025-05-04 03:37:00,INC-1932061,Priority 2,Neha Dubey,Facilities,Cafeteria,Cafeteria issue reported by Neha Dubey,Open,,,Low,200
2025-02-27 10:34:00,INC-1921871,Priority 4,Anjali Patel,LM Onboarding,New joinee queries,New joinee queries issue reported by Anjali Patel,Pending,,,Low,10000
2025-02-17 22:48:00,INC-1932221,Priority 1,David Sharma,ACCOPS,VPN,VPN issue reported by David Sharma,Pending,,,Low,3000
2025-03-25 07:29:00,INC-1915370,Priority 1,Ravi Khan,Finance,Expense Claim,Expense Claim issue reported by Ravi Khan,Pending,,,Low,1000
2025-05-23 01:09:00,SR-1968918,Priority 1,David Singh,ACCOPS,Token Reset,Token Reset issue reported by David Singh,Open,,,Medium,3000
2025-04-26 07:42:00,INC-1932461,Priority 3,Anjali Khan,Finance,Budget Request,Budget Request issue reported by Anjali Khan,In Progress,,,Low,10000
2025-02-17 12:17:00,INC-1993564,Priority 2,Kunal Wilson,Facilities,Transport,Transport issue reported by Kunal Wilson,In Progress,,,Critical,10000
2025-06-27 11:04:00,INC-1963242,Priority 4,Alfarhan Sharma,ACCOPS,Token Reset,Token Reset issue reported by Alfarhan Sharma,Pending,,,High,10000
2025-06-06 20:48:00,INC-1956313,Priority 2,David Patel,ACCOPS,VPN,VPN issue reported by David Patel,Closed,2025-06-07 00:42:00,3.9,Medium,3000
2025-04-22 12:48:00,INC-1947108,Priority 1,Ravi Sharma,Finance,Budget Request,Budget Request issue reported by Ravi Sharma,In Progress,,,High,200
2025-04-06 06:22:00,SR-1927112,Priority 1,David Sharma,Finance,Invoice,Invoice issue reported by David Sharma,In Progress,,,Critical,10000
2025-06-23 14:20:00,INC-1943090,Priority 3,Neha Demilian,ACCOPS,VPN,VPN issue reported by Neha Demilian,Closed,2025-06-25 14:40:24,48.34,High,5000
2025-04-12 12:33:00,SR-1939585,Priority 2,David Demilian,Network,Connectivity,Connectivity issue reported by David Demilian,In Progress,,,Critical,500
2025-05-02 09:37:00,SR-1903827,Priority 2,Neha Singh,IT Support,Email Access,Email Access issue reported by Neha Singh,Closed,2025-05-07 02:13:00,112.6,Low,3000
2025-05-30 01:34:00,INC-1961916,Priority 3,Ravi Wilson,HR,Compliance,Compliance issue reported by Ravi Wilson,Pending,,,Medium,200
2025-03-26 09:05:00,INC-1924371,Priority 1,Fatima Iyer,HR,Payroll,Payroll issue reported by Fatima Iyer,In Progress,,,Critical,200
2025-02-21 01:05:00,INC-1949356,Priority 4,George Singh,IT Support,Software Install,Software Install issue reported by George Singh,Pending,,,Medium,10000
2025-02-10 07:06:00,INC-1943777,Priority 2,Priya Patel,IT Support,Software Install,Software Install issue reported by Priya Patel,Open,,,Critical,500
2025-04-30 04:14:00,SR-1901431,Priority 2,Priya Demilian,IT Support,Software Install,Software Install issue reported by Priya Demilian,In Progress,,,High,500
2025-06-17 22:25:00,INC-1916356,Priority 2,David Verma,Facilities,Cafeteria,Cafeteria issue reported by David Verma,Closed,2025-06-20 19:23:48,68.98,Critical,1000
2025-02-13 13:39:00,INC-1922642,Priority 1,Alfarhan Iyer,HR,Payroll,Payroll issue reported by Alfarhan Iyer,Closed,2025-02-17 21:00:36,103.36,Low,500
2025-04-26 18:23:00,INC-1931479,Priority 2,Neha Singh,LM Onboarding,Resource Extension,Resource Extension issue reported by Neha Singh,Open,,,Low,10000
2025-05-21 12:36:00,INC-1974237,Priority 2,George Singh,Finance,Expense Claim,Expense Claim issue reported by George Singh,Pending,,,High,200
2025-07-08 20:50:00,SR-1965852,Priority 4,David Khan,LM Onboarding,Resource Extension,Resource Extension issue reported by David Khan,Closed,2025-07-09 05:10:24,8.34,High,200
2025-03-18 02:04:00,INC-1935812,Priority 2,Neha Verma,Facilities,Seating,Seating issue reported by Neha Verma,Open,,,Critical,1000
2025-07-23 14:14:00,INC-1974298,Priority 1,Anjali Demilian,ACCOPS,Account Access,Account Access issue reported by Anjali Demilian,Closed,2025-07-27 00:36:48,82.38,Low,500
2025-05-20 06:36:00,INC-1946158,Priority 1,George Singh,HR,Payroll,Payroll issue reported by George Singh,Closed,2025-05-21 08:31:48,25.93,Low,500
2025-07-19 10:31:00,SR-1947666,Priority 3,Kunal Sharma,ACCOPS,Token Reset,Token Reset issue reported by Kunal Sharma,Open,,,Low,5000
2025-02-02 19:55:00,SR-1962845,Priority 1,Priya Wilson,HR,Leave Policy,Leave Policy issue reported by Priya Wilson,In Progress,,,Critical,3000
2025-05-24 01:12:00,INC-1955080,Priority 4,George Wilson,LM Onboarding,Resource Extension,Resource Extension issue reported by George Wilson,Closed,2025-05-27 14:40:48,85.48,Medium,500
2025-04-19 13:07:00,INC-1913885,Priority 3,Anjali Patel,IT Support,Laptop Issue,Laptop Issue issue reported by Anjali Patel,Open,,,Medium,200
2025-04-13 13:22:00,SR-1999503,Priority 3,Sadhana Demilian,Network,Bandwidth,Bandwidth issue reported by Sadhana Demilian,Pending,,,Low,500
2025-07-17 05:04:00,INC-1986887,Priority 4,George Dubey,LM Onboarding,New joinee queries,New joinee queries issue reported by George Dubey,Open,,,Low,500
2025-07-05 12:31:00,INC-1976965,Priority 3,Priya Sharma,IT Support,Email Access,Email Access issue reported by Priya Sharma,Closed,2025-07-07 01:08:48,36.63,High,200
2025-07-05 04:47:00,SR-1962072,Priority 2,Priya Dubey,LM Onboarding,Resource Extension,Resource Extension issue reported by Priya Dubey,Open,,,Medium,200
2025-05-03 21:45:00,SR-1968483,Priority 2,Sadhana Patel,LM Onboarding,New joinee queries,New joinee queries issue reported by Sadhana Patel,In Progress,,,Medium,10000
2025-04-05 01:14:00,SR-1955002,Priority 1,Alfarhan Fernandes,IT Support,Software Install,Software Install issue reported by Alfarhan Fernandes,In Progress,,,Low,10000
2025-03-15 07:39:00,INC-1937002,Priority 3,Priya Iyer,HR,Leave Policy,Leave Policy issue reported by Priya Iyer,Open,,,Critical,3000
2025-02-23 02:40:00,INC-1947554,Priority 3,Anjali Verma,IT Support,Laptop Issue,Laptop Issue issue reported by Anjali Verma,In Progress,,,High,3000
2025-05-21 09:13:00,INC-1930290,Priority 1,Fatima Patel,Network,Connectivity,Connectivity issue reported by Fatima Patel,Pending,,,Critical,1000
2025-04-25 06:28:00,INC-1923077,Priority 2,David Wilson,IT Support,Laptop Issue,Laptop Issue issue reported by David Wilson,Closed,2025-04-27 07:23:12,48.92,Medium,3000
2025-02-19 03:46:00,INC-1949464,Priority 4,Priya Verma,Finance,Expense Claim,Expense Claim issue reported by Priya Verma,In Progress,,,High,5000
2025-06-20 14:18:00,INC-1970542,Priority 3,Neha Sharma,Facilities,Seating,Seating issue reported by Neha Sharma,Closed,2025-06-23 05:28:12,63.17,High,500
2025-06-13 21:19:00,SR-1939763,Priority 1,Alfarhan Verma,ACCOPS,Token Reset,Token Reset issue reported by Alfarhan Verma,Pending,,,Medium,3000
2025-07-13 10:01:00,INC-1968107,Priority 2,David Fernandes,Finance,Invoice,Invoice issue reported by David Fernandes,Open,,,High,500
2025-05-02 15:21:00,SR-1950017,Priority 2,Fatima Iyer,Finance,Budget Request,Budget Request issue reported by Fatima Iyer,Closed,2025-05-05 21:15:36,77.91,Critical,500
2025-03-09 00:46:00,INC-1999113,Priority 3,Anjali Verma,ACCOPS,Account Access,Account Access issue reported by Anjali Verma,In Progress,,,Low,5000
2025-07-02 03:55:00,INC-1910481,Priority 3,Anjali Singh,Facilities,Seating,Seating issue reported by Anjali Singh,Closed,2025-07-04 12:52:36,56.96,Low,10000
2025-03-30 09:52:00,INC-1997777,Priority 3,Anjali Demilian,HR,Payroll,Payroll issue reported by Anjali Demilian,Pending,,,Low,3000
2025-07-20 18:33:00,SR-1974019,Priority 3,George Dubey,LM Onboarding,Resource Extension,Resource Extension issue reported by George Dubey,In Progress,,,Critical,500
2025-04-02 06:49:00,SR-1967964,Priority 4,Priya Dubey,LM Onboarding,New joinee queries,New joinee queries issue reported by Priya Dubey,Pending,,,Low,500
2025-06-29 14:41:00,SR-1956343,Priority 1,David Iyer,IT Support,Software Install,Software Install issue reported by David Iyer,Open,,,Critical,200
2025-07-08 15:36:00,INC-1990153,Priority 1,Ravi Iyer,LM Onboarding,New joinee queries,New joinee queries issue reported by Ravi Iyer,In Progress,,,High,5000
2025-03-15 21:49:00,SR-1930417,Priority 4,Ravi Singh,HR,Payroll,Payroll issue reported by Ravi Singh,Pending,,,Medium,3000
2025-07-04 23:49:00,INC-1981379,Priority 2,Priya Demilian,Finance,Invoice,Invoice issue reported by Priya Demilian,In Progress,,,Medium,1000
2025-05-23 13:38:00,INC-1985133,Priority 3,Alfarhan Iyer,LM Onboarding,Resource Extension,Resource Extension issue reported by Alfarhan Iyer,Closed,2025-05-25 19:21:48,53.73,Medium,10000
2025-04-29 00:51:00,INC-1916952,Priority 2,Anjali Singh,Facilities,Transport,Transport issue reported by Anjali Singh,In Progress,,,Critical,10000
2025-07-19 08:58:00,INC-1962973,Priority 3,Anjali Iyer,LM Onboarding,New joinee queries,New joinee queries issue reported by Anjali Iyer,Closed,2025-07-24 03:03:24,114.09,Medium,3000
2025-07-30 23:49:00,SR-1935524,Priority 1,George Patel,HR,Leave Policy,Leave Policy issue reported by George Patel,Pending,,,Critical,200
2025-04-11 17:26:00,SR-1904955,Priority 1,George Dubey,IT Support,Email Access,Email Access issue reported by George Dubey,Pending,,,Critical,3000
2025-03-23 06:13:00,INC-1986853,Priority 2,Sadhana Singh,HR,Payroll,Payroll issue reported by Sadhana Singh,Pending,,,Medium,1000
2025-07-24 15:39:00,SR-1981789,Priority 3,George Singh,Facilities,Cafeteria,Cafeteria issue reported by George Singh,In Progress,,,Medium,1000
2025-02-08 00:06:00,INC-1949606,Priority 2,Priya Patel,IT Support,Email Access,Email Access issue reported by Priya Patel,Pending,,,Low,3000
2025-03-11 10:18:00,INC-1939992,Priority 1,Priya Wilson,Facilities,Seating,Seating issue reported by Priya Wilson,Pending,,,Medium,200
2025-07-05 08:28:00,INC-1978387,Priority 3,George Sharma,ACCOPS,Token Reset,Token Reset issue reported by George Sharma,Open,,,Critical,5000
2025-05-06 23:46:00,INC-1991516,Priority 3,Alfarhan Patel,IT Support,Email Access,Email Access issue reported by Alfarhan Patel,In Progress,,,Medium,5000
2025-03-01 18:54:00,SR-1946672,Priority 2,David Verma,LM Onboarding,New joinee queries,New joinee queries issue reported by David Verma,In Progress,,,Critical,3000
2025-02-08 20:59:00,SR-1910919,Priority 2,Neha Khan,Facilities,Seating,Seating issue reported by Neha Khan,In Progress,,,Critical,1000
2025-07-08 00:41:00,INC-1917208,Priority 2,Priya Fernandes,LM Onboarding,New joinee queries,New joinee queries issue reported by Priya Fernandes,In Progress,,,High,200
2025-05-17 03:03:00,INC-1963611,Priority 3,Alfarhan Singh,Facilities,Seating,Seating issue reported by Alfarhan Singh,In Progress,,,Medium,200
2025-07-28 06:07:00,SR-1967375,Priority 2,Kunal Fernandes,LM Onboarding,Resource Extension,Resource Extension issue reported by Kunal Fernandes,Open,,,Low,5000
2025-03-01 12:16:00,SR-1903980,Priority 2,Anjali Dubey,Facilities,Transport,Transport issue reported by Anjali Dubey,Closed,2025-03-06 01:58:36,109.71,High,5000
2025-04-01 12:59:00,SR-1968967,Priority 2,Alfarhan Khan,Network,Connectivity,Connectivity issue reported by Alfarhan Khan,In Progress,,,Low,500
2025-03-09 11:29:00,SR-1999626,Priority 1,Fatima Singh,ACCOPS,VPN,VPN issue reported by Fatima Singh,Open,,,Critical,1000
2025-06-10 02:42:00,SR-1926113,Priority 4,Kunal Sharma,HR,Leave Policy,Leave Policy issue reported by Kunal Sharma,Open,,,Medium,5000
2025-03-12 10:32:00,SR-1972995,Priority 1,Alfarhan Fernandes,Finance,Budget Request,Budget Request issue reported by Alfarhan Fernandes,In Progress,,,Low,500
2025-05-02 00:46:00,INC-1958034,Priority 2,Ravi Verma,Facilities,Transport,Transport issue reported by Ravi Verma,In Progress,,,Critical,1000
2025-05-27 21:37:00,INC-1901467,Priority 3,Kunal Verma,Finance,Invoice,Invoice issue reported by Kunal Verma,In Progress,,,Low,200
2025-04-21 13:38:00,INC-1903105,Priority 2,Fatima Sharma,LM Onboarding,New joinee queries,New joinee queries issue reported by Fatima Sharma,In Progress,,,Medium,10000
2025-05-07 06:40:00,INC-1915300,Priority 2,Priya Khan,ACCOPS,Account Access,Account Access issue reported by Priya Khan,Pending,,,Low,5000
2025-07-13 11:56:00,SR-1981710,Priority 2,Priya Singh,LM Onboarding,New joinee queries,New joinee queries issue reported by Priya Singh,Closed,2025-07-16 19:06:12,79.17,Low,1000
2025-03-02 09:57:00,SR-1935486,Priority 2,Kunal Demilian,IT Support,Software Install,Software Install issue reported by Kunal Demilian,Closed,2025-03-06 03:58:12,90.02,Low,10000
2025-05-13 09:33:00,INC-1945993,Priority 3,Ravi Demilian,Network,Firewall,Firewall issue reported by Ravi Demilian,Pending,,,Medium,3000
2025-06-15 13:08:00,SR-1942557,Priority 3,George Dubey,Network,Firewall,Firewall issue reported by George Dubey,Closed,2025-06-19 23:08:00,106.0,Critical,10000
2025-07-01 14:32:00,INC-1921776,Priority 3,Ravi Sharma,HR,Compliance,Compliance issue reported by Ravi Sharma,Pending,,,High,10000
2025-02-10 00:34:00,SR-1940438,Priority 1,Priya Dubey,HR,Compliance,Compliance issue reported by Priya Dubey,In Progress,,,Critical,10000
2025-04-14 12:56:00,SR-1905643,Priority 2,Sadhana Wilson,LM Onboarding,Resource Extension,Resource Extension issue reported by Sadhana Wilson,Open,,,Low,3000
2025-03-20 09:38:00,SR-1963539,Priority 2,Kunal Wilson,IT Support,Software Install,Software Install issue reported by Kunal Wilson,In Progress,,,Medium,200
2025-05-02 04:16:00,INC-1931566,Priority 4,George Demilian,LM Onboarding,New joinee queries,New joinee queries issue reported by George Demilian,Closed,2025-05-06 03:25:36,95.16,Low,1000
2025-02-05 23:03:00,SR-1997605,Priority 2,Neha Wilson,IT Support,Software Install,Software Install issue reported by Neha Wilson,Open,,,Medium,500
2025-04-19 01:41:00,INC-1995844,Priority 2,Alfarhan Demilian,LM Onboarding,Resource Extension,Resource Extension issue reported by Alfarhan Demilian,Open,,,Low,10000
2025-05-13 13:53:00,SR-1928997,Priority 1,Priya Fernandes,Network,Firewall,Firewall issue reported by Priya Fernandes,Open,,,Low,1000
2025-06-14 16:31:00,SR-1980306,Priority 1,David Singh,Finance,Expense Claim,Expense Claim issue reported by David Singh,Open,,,Critical,5000
2025-04-15 03:44:00,INC-1926324,Priority 3,Anjali Demilian,IT Support,Laptop Issue,Laptop Issue issue reported by Anjali Demilian,In Progress,,,Critical,200
2025-04-03 01:50:00,SR-1940367,Priority 3,Fatima Verma,LM Onboarding,Resource Extension,Resource Extension issue reported by Fatima Verma,Pending,,,Medium,3000
2025-06-08 23:45:00,INC-1919651,Priority 3,David Singh,HR,Leave Policy,Leave Policy issue reported by David Singh,Pending,,,Critical,200
2025-05-21 22:12:00,INC-1974298,Priority 3,George Singh,HR,Leave Policy,Leave Policy issue reported by George Singh,Pending,,,Low,500
2025-06-09 23:13:00,INC-1939666,Priority 3,Kunal Khan,Network,Connectivity,Connectivity issue reported by Kunal Khan,Pending,,,High,3000
2025-03-27 03:43:00,SR-1920905,Priority 1,Kunal Demilian,Facilities,Cafeteria,Cafeteria issue reported by Kunal Demilian,Pending,,,Low,500
2025-04-01 11:22:00,INC-1976685,Priority 1,Alfarhan Khan,LM Onboarding,Resource Extension,Resource Extension issue reported by Alfarhan Khan,Pending,,,Critical,10000
2025-05-27 21:41:00,INC-1900682,Priority 1,Neha Fernandes,Network,Firewall,Firewall issue reported by Neha Fernandes,Pending,,,Medium,200
2025-02-02 19:00:00,SR-1912672,Priority 3,David Dubey,Facilities,Seating,Seating issue reported by David Dubey,Pending,,,Critical,500
2025-02-07 14:49:00,SR-1972146,Priority 1,Fatima Fernandes,IT Support,Laptop Issue,Laptop Issue issue reported by Fatima Fernandes,Closed,2025-02-10 08:17:12,65.47,High,10000
2025-05-21 05:48:00,INC-1948900,Priority 1,Anjali Singh,Facilities,Cafeteria,Cafeteria issue reported by Anjali Singh,Closed,2025-05-24 05:55:12,72.12,Critical,10000
2025-05-16 20:43:00,SR-1998056,Priority 2,David Patel,HR,Compliance,Compliance issue reported by David Patel,Closed,2025-05-19 09:44:12,61.02,Low,1000
2025-03-23 18:29:00,INC-1918896,Priority 4,Sadhana Iyer,IT Support,Laptop Issue,Laptop Issue issue reported by Sadhana Iyer,Closed,2025-03-28 05:32:00,107.05,Low,3000
2025-06-20 04:20:00,INC-1928899,Priority 2,Kunal Khan,Facilities,Transport,Transport issue reported by Kunal Khan,Open,,,Critical,500
2025-04-28 13:27:00,INC-1943720,Priority 1,Priya Khan,Network,Bandwidth,Bandwidth issue reported by Priya Khan,Closed,2025-05-01 00:15:00,58.8,High,500
2025-07-01 20:57:00,INC-1999959,Priority 4,Alfarhan Dubey,Network,Firewall,Firewall issue reported by Alfarhan Dubey,Open,,,High,1000
2025-04-08 04:16:00,INC-1990306,Priority 2,Kunal Fernandes,HR,Leave Policy,Leave Policy issue reported by Kunal Fernandes,Closed,2025-04-13 00:09:24,115.89,Low,1000
2025-07-29 14:28:00,INC-1964971,Priority 2,Anjali Singh,LM Onboarding,New joinee queries,New joinee queries issue reported by Anjali Singh,In Progress,,,Critical,5000
2025-02-28 08:36:00,INC-1956445,Priority 3,Ravi Demilian,IT Support,Software Install,Software Install issue reported by Ravi Demilian,Closed,2025-03-05 01:30:00,112.9,Low,5000
2025-03-05 01:54:00,INC-1976981,Priority 2,Neha Demilian,Network,Bandwidth,Bandwidth issue reported by Neha Demilian,In Progress,,,High,3000
2025-03-19 23:07:00,SR-1991049,Priority 3,Neha Fernandes,LM Onboarding,New joinee queries,New joinee queries issue reported by Neha Fernandes,Open,,,Low,3000
2025-02-08 15:24:00,INC-1926814,Priority 1,Fatima Iyer,LM Onboarding,Resource Extension,Resource Extension issue reported by Fatima Iyer,Open,,,Medium,10000
2025-06-02 08:40:00,SR-1996658,Priority 2,Fatima Sharma,ACCOPS,Account Access,Account Access issue reported by Fatima Sharma,Pending,,,High,3000
2025-03-26 01:42:00,INC-1992932,Priority 3,Priya Demilian,Facilities,Transport,Transport issue reported by Priya Demilian,Pending,,,Medium,1000
2025-06-15 00:50:00,INC-1931388,Priority 1,Alfarhan Patel,IT Support,Software Install,Software Install issue reported by Alfarhan Patel,Pending,,,Low,1000
2025-02-21 02:21:00,INC-1974162,Priority 3,Neha Fernandes,HR,Leave Policy,Leave Policy issue reported by Neha Fernandes,In Progress,,,Low,10000
2025-05-09 20:07:00,SR-1997900,Priority 3,Neha Verma,Facilities,Cafeteria,Cafeteria issue reported by Neha Verma,Closed,2025-05-10 00:05:12,3.97,Medium,200
2025-03-27 20:40:00,SR-1918963,Priority 4,Sadhana Demilian,Network,Bandwidth,Bandwidth issue reported by Sadhana Demilian,Open,,,Low,3000
2025-06-09 13:55:00,SR-1977803,Priority 4,George Verma,IT Support,Laptop Issue,Laptop Issue issue reported by George Verma,Pending,,,Low,200
2025-04-01 01:24:00,INC-1997844,Priority 2,Kunal Patel,IT Support,Email Access,Email Access issue reported by Kunal Patel,In Progress,,,High,3000
2025-03-05 22:56:00,INC-1989433,Priority 2,Kunal Sharma,LM Onboarding,Resource Extension,Resource Extension issue reported by Kunal Sharma,Closed,2025-03-08 21:41:00,70.75,Low,10000
2025-04-26 14:11:00,SR-1951985,Priority 2,David Iyer,Network,Firewall,Firewall issue reported by David Iyer,Closed,2025-04-28 00:54:12,34.72,High,10000
2025-04-28 11:34:00,INC-1958936,Priority 1,Anjali Singh,HR,Leave Policy,Leave Policy issue reported by Anjali Singh,In Progress,,,Critical,500
2025-07-17 02:53:00,SR-1919887,Priority 4,Alfarhan Khan,LM Onboarding,Resource Extension,Resource Extension issue reported by Alfarhan Khan,Open,,,Critical,500
2025-05-07 07:42:00,SR-1912921,Priority 2,George Wilson,LM Onboarding,New joinee queries,New joinee queries issue reported by George Wilson,Pending,,,Medium,10000
2025-07-05 03:15:00,INC-1969407,Priority 4,Neha Patel,LM Onboarding,New joinee queries,New joinee queries issue reported by Neha Patel,Open,,,Critical,5000
2025-06-25 06:37:00,INC-1948592,Priority 1,Alfarhan Dubey,HR,Leave Policy,Leave Policy issue reported by Alfarhan Dubey,Pending,,,Low,5000
2025-06-08 13:30:00,INC-1926977,Priority 1,Priya Dubey,Network,Connectivity,Connectivity issue reported by Priya Dubey,Open,,,Low,10000
2025-06-25 08:57:00,INC-1968150,Priority 4,George Fernandes,LM Onboarding,Resource Extension,Resource Extension issue reported by George Fernandes,Closed,2025-06-27 05:20:24,44.39,Low,1000
2025-02-02 21:00:00,SR-1993443,Priority 4,David Khan,HR,Compliance,Compliance issue reported by David Khan,Open,,,Low,200
2025-03-26 04:44:00,INC-1982646,Priority 3,Kunal Iyer,Network,Bandwidth,Bandwidth issue reported by Kunal Iyer,Pending,,,Critical,200
2025-06-05 15:08:00,INC-1931750,Priority 3,Neha Verma,Facilities,Seating,Seating issue reported by Neha Verma,Pending,,,High,1000
2025-06-26 04:59:00,SR-1980518,Priority 2,Priya Patel,LM Onboarding,New joinee queries,New joinee queries issue reported by Priya Patel,Pending,,,High,10000
2025-04-11 06:14:00,SR-1979180,Priority 2,Priya Fernandes,Finance,Expense Claim,Expense Claim issue reported by Priya Fernandes,Pending,,,Medium,10000
2025-02-01 12:00:00,SR-1972290,Priority 2,Fatima Khan,LM Onboarding,Resource Extension,Resource Extension issue reported by Fatima Khan,Closed,2025-02-04 19:34:12,79.57,High,5000
2025-07-11 04:10:00,INC-1965962,Priority 1,Kunal Wilson,LM Onboarding,Resource Extension,Resource Extension issue reported by Kunal Wilson,Closed,2025-07-11 08:13:36,4.06,Medium,200
2025-07-14 22:35:00,SR-1913081,Priority 4,Neha Dubey,Facilities,Cafeteria,Cafeteria issue reported by Neha Dubey,Closed,2025-07-15 08:58:24,10.39,Critical,500
2025-06-01 02:58:00,SR-1959125,Priority 1,Ravi Dubey,Network,Firewall,Firewall issue reported by Ravi Dubey,Closed,2025-06-05 08:03:24,101.09,Critical,5000
2025-04-06 00:41:00,SR-1964964,Priority 3,Priya Verma,Network,Firewall,Firewall issue reported by Priya Verma,Open,,,Low,500
2025-05-12 13:15:00,INC-1973893,Priority 4,Anjali Fernandes,Finance,Invoice,Invoice issue reported by Anjali Fernandes,In Progress,,,Low,5000
2025-02-21 02:22:00,INC-1974786,Priority 1,Alfarhan Khan,Finance,Invoice,Invoice issue reported by Alfarhan Khan,Open,,,High,1000
2025-06-10 15:35:00,SR-1975353,Priority 2,Ravi Demilian,Finance,Invoice,Invoice issue reported by Ravi Demilian,In Progress,,,Medium,10000
2025-05-04 08:51:00,INC-1930523,Priority 2,Priya Singh,IT Support,Email Access,Email Access issue reported by Priya Singh,Open,,,Low,1000
2025-04-07 07:36:00,SR-1977641,Priority 1,Alfarhan Khan,HR,Leave Policy,Leave Policy issue reported by Alfarhan Khan,Pending,,,Critical,200
2025-02-14 05:29:00,INC-1987585,Priority 3,Ravi Verma,Network,Bandwidth,Bandwidth issue reported by Ravi Verma,Open,,,High,500
2025-02-07 13:53:00,SR-1912058,Priority 1,Fatima Patel,Facilities,Transport,Transport issue reported by Fatima Patel,Open,,,Low,5000
2025-06-11 09:01:00,SR-1912379,Priority 2,Sadhana Dubey,ACCOPS,VPN,VPN issue reported by Sadhana Dubey,Pending,,,Medium,200
2025-04-12 14:50:00,INC-1997009,Priority 2,Alfarhan Verma,IT Support,Email Access,Email Access issue reported by Alfarhan Verma,In Progress,,,Medium,200
2025-06-04 00:29:00,SR-1949590,Priority 4,George Fernandes,HR,Leave Policy,Leave Policy issue reported by George Fernandes,In Progress,,,Critical,500
2025-02-05 00:57:00,INC-1933505,Priority 1,Anjali Verma,IT Support,Laptop Issue,Laptop Issue issue reported by Anjali Verma,In Progress,,,High,500
2025-07-07 04:31:00,SR-1905087,Priority 2,David Iyer,HR,Compliance,Compliance issue reported by David Iyer,Pending,,,High,10000
